date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:54	5550/5550	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jan%202022%2016:17:54%20GMT	http://electrodev.xyz/robots.txt		(from )
18:17:54	7520/7520	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:17:54%20GMT	http://electrodev.xyz/	D:/stolewebsites/Electro/electrodev.xyz/index.html	(from )
18:17:55	8739/8739	---MCZ	200	added ('OK')	text/css	date:Sun,%2031%20Oct%202021%2016:44:07%20GMT	http://electrodev.xyz/style.css	D:/stolewebsites/Electro/electrodev.xyz/style.css	(from http://electrodev.xyz/)
18:17:55	7093/7093	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:17:56%20GMT	http://electrodev.xyz/services.html	D:/stolewebsites/Electro/electrodev.xyz/services.html	(from http://electrodev.xyz/)
18:17:55	24815/24815	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Oct%202021%2018:27:50%20GMT	http://electrodev.xyz/logo.png	D:/stolewebsites/Electro/electrodev.xyz/logo.png	(from http://electrodev.xyz/)
18:17:55	8795/8795	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:17:56%20GMT	http://electrodev.xyz/news.html	D:/stolewebsites/Electro/electrodev.xyz/news.html	(from http://electrodev.xyz/)
18:17:56	876/876	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:17:56%20GMT	http://electrodev.xyz/credits.html	D:/stolewebsites/Electro/electrodev.xyz/credits.html	(from http://electrodev.xyz/)
18:17:57	2046/2046	---M--	200	added ('OK')	image/png	etag:%2261d85ee4-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	D:/stolewebsites/Electro/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from http://electrodev.xyz/)
18:17:59	7520/7520	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:17:58%20GMT	http://electrodev.xyz/index.html	D:/stolewebsites/Electro/electrodev.xyz/index-2.html	(from http://electrodev.xyz/services.html)
18:17:59	30375/30375	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Sep%202021%2018:02:05%20GMT	http://electrodev.xyz/itsblackz.png	D:/stolewebsites/Electro/electrodev.xyz/itsblackz.png	(from http://electrodev.xyz/)
18:18:00	283/283	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:18:00%20GMT	http://electrodev.xyz/ecolors.html	D:/stolewebsites/Electro/electrodev.xyz/ecolors.html	(from http://electrodev.xyz/services.html)
18:18:00	2870/2870	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:18:00%20GMT	http://electrodev.xyz/theguard.html	D:/stolewebsites/Electro/electrodev.xyz/theguard.html	(from http://electrodev.xyz/services.html)
18:18:00	1264/1264	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:18:01%20GMT	http://electrodev.xyz/theisland.html	D:/stolewebsites/Electro/electrodev.xyz/theisland.html	(from http://electrodev.xyz/services.html)
18:18:00	3050/3050	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:18:01%20GMT	http://electrodev.xyz/acctools.html	D:/stolewebsites/Electro/electrodev.xyz/acctools.html	(from http://electrodev.xyz/services.html)
18:18:02	50497/50497	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Oct%202021%2017:29:46%20GMT	http://electrodev.xyz/adam.png	D:/stolewebsites/Electro/electrodev.xyz/adam.png	(from http://electrodev.xyz/)
18:18:02	59108/59108	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Sep%202021%2018:02:06%20GMT	http://electrodev.xyz/nir.png	D:/stolewebsites/Electro/electrodev.xyz/nir.png	(from http://electrodev.xyz/)
18:18:03	19129/19129	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Sep%202021%2018:02:08%20GMT	http://electrodev.xyz/theguard.png	D:/stolewebsites/Electro/electrodev.xyz/theguard.png	(from http://electrodev.xyz/theguard.html)
18:18:11	728/728	---M--	200	added ('OK')	text/plain	date:Mon,%2018%20Oct%202021%2011:14:05%20GMT	http://electrodev.xyz/acctoolsconditions.txt	D:/stolewebsites/Electro/electrodev.xyz/acctoolsconditions.txt	(from http://electrodev.xyz/acctools.html)
18:18:33	1091/1091	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jan%202022%2016:18:15%20GMT	http://electrodev.xyz/acctoolsdownloads.html	D:/stolewebsites/Electro/electrodev.xyz/acctoolsdownloads.html	(from http://electrodev.xyz/acctools.html)
18:19:13	29690270/29690270	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2018:40:08%20GMT	http://electrodev.xyz/AccTools.rar	D:/stolewebsites/Electro/electrodev.xyz/AccTools-2.html	(from http://electrodev.xyz/acctools.html)
18:20:31	17209/17209	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Sep%202021%2018:02:09%20GMT	http://electrodev.xyz/theisland.png	D:/stolewebsites/Electro/electrodev.xyz/theisland.png	(from http://electrodev.xyz/theisland.html)
